t	sumScr	maxInnSc	maxScr
798	4426.5	8.1	11.5
799	4420.3	8.1	11.4
800	4424.3	8.1	11.3
801	4431.1	8.1	11.7
802	4426.9	8.1	11.2
803	4441.6	8.1	11.7
804	4451.6	8.1	11.5
805	4444.5	7.7	11.6
806	4453.6	8.0	11.6
807	4434.0	8.0	11.8
808	4432.2	7.7	11.7
809	4436.9	7.7	11.8
810	4456.5	7.7	11.5
811	4448.1	7.7	11.8
812	4443.6	7.7	11.8
813	4448.1	7.7	11.7
814	4448.9	7.7	11.6
815	4462.1	7.7	11.4
816	4459.2	7.7	11.7
817	4467.5	7.8	11.6
818	4472.4	7.7	11.7
819	4469.1	7.7	11.5
820	4470.1	8.0	11.4
821	4471.3	8.0	11.5
822	4467.7	7.7	11.9
823	4471.3	7.6	11.8
824	4460.0	7.6	11.4
825	4472.8	7.7	11.7
826	4477.3	7.8	11.6
827	4463.3	7.6	11.6
828	4478.8	7.7	11.9
829	4487.7	7.7	11.9
830	4490.4	7.7	11.9
831	4486.3	7.6	11.5
832	4484.0	7.7	11.6
833	4481.0	7.7	11.9
834	4480.6	7.7	11.4
835	4501.1	7.8	11.7
836	4497.1	7.7	11.4
837	4501.3	7.7	11.5
838	4500.3	7.7	11.5
839	4495.3	7.7	11.7
840	4516.0	7.7	11.5
841	4504.2	8.0	11.6
842	4500.2	8.0	11.7
843	4515.1	8.0	11.9
844	4513.9	8.0	11.5
845	4501.5	8.0	12.1
846	4505.1	8.1	11.9
847	4512.6	8.1	11.7
848	4509.0	8.1	11.9
849	4518.3	8.0	11.7
850	4501.0	7.9	11.7
851	4520.7	8.0	11.4
852	4531.5	7.9	11.8
853	4524.4	7.9	11.8
854	4527.8	7.9	11.8
855	4528.3	7.9	11.7
856	4519.0	7.9	11.8
857	4532.0	8.0	11.8
858	4531.1	7.9	11.8
859	4529.9	7.9	11.8
860	4542.6	7.9	11.6
861	4532.7	7.9	11.5
862	4542.3	8.1	11.6
863	4538.5	7.9	11.6
864	4535.7	7.9	11.8
865	4536.5	7.9	11.9
866	4548.7	8.0	11.9
867	4526.4	8.0	11.8
868	4541.4	8.0	11.8
869	4547.5	8.0	12.0
870	4535.6	8.0	12.1
871	4538.2	8.1	12.0
872	4552.9	8.0	11.8
873	4545.2	8.0	11.7
874	4554.1	8.0	11.9
875	4536.8	8.0	11.6
